id	time	feature	measure
1	1495	Cruo	S
2	1495	Cruo	S
3	1505	Cruo	G
4	1505	Cruo	G
5	1505	Cruo	S
6	1505	Cruo	S
7	1505	Cruo	S
8	1505	Cruo	S
9	1505	Cruo	S
10	1505	Cruo	S
11	1505	Cruo	S
12	1505	Cruo	S
13	1505	Cruo	S
14	1505	Cruo	S
15	1505	Cruo	S
16	1505	Cruo	S
17	1505	Cruo	S
18	1505	Cruo	S
19	1505	Cruo	S
20	1510	Cruo	G
21	1510	Cruo	S
22	1510	Cruo	S
23	1510	Cruo	S
24	1510	Cruo	S
25	1510	Cruo	S
26	1510	Cruo	S
27	1510	Cruo	S
28	1510	Cruo	S
29	1510	Cruo	S
30	1515	Cruo	G
31	1515	Cruo	S
32	1515	Cruo	S
33	1515	Cruo	S
34	1515	Cruo	S
35	1515	Cruo	S
36	1515	Cruo	S
37	1515	Cruo	S
38	1515	Cruo	S
39	1515	Cruo	S
40	1515	Cruo	S
41	1515	Cruo	S
42	1515	Cruo	S
43	1515	Cruo	S
44	1515	Cruo	S
45	1515	Cruo	S
46	1515	Cruo	S
47	1515	Cruo	S
48	1515	Cruo	S
49	1515	Cruo	S
50	1520	Cruo	S
51	1520	Cruo	S
52	1520	Cruo	S
53	1520	Cruo	S
54	1520	Cruo	S
55	1520	Cruo	S
56	1520	Cruo	S
57	1520	Cruo	S
58	1525	Cruo	S
59	1525	Cruo	S
60	1525	Cruo	S
61	1525	Cruo	S
62	1525	Cruo	S
63	1525	Cruo	S
64	1525	Cruo	S
65	1530	Cruo	G
66	1530	Cruo	S
67	1530	Cruo	S
68	1530	Cruo	S
69	1530	Cruo	S
70	1530	Cruo	S
71	1535	Cruo	S
72	1540	Cruo	G
73	1540	Cruo	G
74	1540	Cruo	G
75	1540	Cruo	G
76	1540	Cruo	G
77	1540	Cruo	S
78	1540	Cruo	S
79	1540	Cruo	S
80	1540	Cruo	S
81	1540	Cruo	S
82	1540	Cruo	S
83	1540	Cruo	S
84	1540	Cruo	S
85	1540	Cruo	S
86	1540	Cruo	S
87	1540	Cruo	S
88	1540	Cruo	S
89	1540	Cruo	S
90	1540	Cruo	S
91	1540	Cruo	S
92	1540	Cruo	S
93	1540	Cruo	S
94	1545	Cruo	G
95	1545	Cruo	G
96	1545	Cruo	G
